-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,pf,hf,H/B,fc,Fyl,Fyv,ALr,AH,Av,S,Sc,DS
2.110724374,2.090050152,2.064802433,2.033331825,1.99313848,1.940287352,1.868313923,1.766251672,1.617854464,1.430644234,1.304357173,1.251972615,1.22066696,1.193695729,1.169039022,1.14707349,1.128214009,1.112399184,1.099262099,1.088345852,1.079220642,0.004102797,1.000472227,3,18.91,356.23,351.72,0.27,1.22,1.2,4.69,4.69,0
1.832352719,1.817403815,1.799152902,1.776374216,1.747155198,1.70834799,1.654436511,1.575207141,1.453582477,1.300943864,1.243640664,1.228575745,1.210655473,1.19304777,1.176569861,1.161295086,1.147301011,1.134668433,1.123439706,1.11359023,1.105027574,0.003586641,1.000444103,3,18.91,356.23,351.72,0.14,1.22,1.2,5.77,5.77,0
2.026819059,2.007557375,1.983988607,1.954526843,1.916734617,1.866701051,1.797849973,1.69876407,1.552097525,1.366188327,1.248414581,1.20477154,1.181427341,1.163307939,1.147462334,1.132967874,1.119626008,1.107465754,1.096535582,1.086831095,1.078289184,0.003231052,1.000366772,3,18.91,356.23,377.01,0.14,1.22,0.56,5,5,0
1.891485339,1.872508467,1.84930521,1.820310748,1.783093354,1.733665476,1.665040798,1.564138098,1.407802406,1.192894457,1.050153236,1.008527341,0.991557485,0.979599814,0.969481515,0.960583462,0.952778704,0.945980849,0.940080953,0.934959169,0.930500072,0.00199892,1.000206575,3,18.91,374.07,351.72,0.27,0.68,1.2,4.17,4.17,0
1.322879483,1.311396205,1.297412357,1.280025509,1.257862616,1.228757667,1.189179914,1.133314132,1.052414994,0.943142483,0.853252844,0.825671795,0.81959175,0.816973196,0.815063184,0.81340577,0.811905961,0.810528545,0.809252544,0.808063303,0.806950115,0.000733868,1.000097417,3,18.91,374.07,377.01,0.27,0.68,0.56,3.75,3.75,0
1.824051896,1.806214404,1.784408793,1.757168112,1.72222292,1.675895362,1.611917197,1.519300994,1.382245967,1.212453785,1.099927541,1.057936469,1.037709137,1.023382781,1.01164421,1.00133714,0.992035469,0.983583863,0.975921644,0.969008886,0.962800109,0.002143572,1.000220912,3,18.91,374.07,380.93,0.14,0.68,0.25,3.41,3.41,0
1.618420278,1.604082252,1.58655796,1.564653244,1.536494828,1.498976513,1.446588309,1.368794313,1.244985859,1.057058295,0.916661676,0.884166454,0.873223985,0.86376752,0.854855877,0.846609553,0.839093426,0.832316658,0.82625125,0.82084536,0.816035391,0.00121512,1.000148282,3,18.91,374.07,380.93,0.14,0.68,0.25,6.82,6.82,0
2.14577989,2.126727591,2.103442063,2.074351373,2.037009841,1.987419164,1.91867506,1.818371937,1.666651562,1.466373357,1.338662994,1.293914098,1.269098194,1.248881771,1.230875865,1.214585452,1.200049306,1.187320399,1.176320645,1.16687169,1.158758401,0.00441668,1.000535998,3,18.91,349.17,351.72,0.14,1.92,1.2,4.69,4.69,0
2.161317759,2.140067802,2.114071675,2.081568181,2.03983688,1.984498042,1.908225531,1.798836248,1.643761417,1.491703,1.430616147,1.41018284,1.398559775,1.388316178,1.37757079,1.365773404,1.353192472,1.340496093,1.328322842,1.317067784,1.306889181,0.00293619,1.000325012,6,18.91,349.17,351.72,0.27,1.92,1.2,5.17,5.17,0
2.208961409,2.186361402,2.158783211,2.124422905,2.080529437,2.022744924,1.943909039,1.83226074,1.674729509,1.505675547,1.421682407,1.396626402,1.387077305,1.380438709,1.373777948,1.366411823,1.35850218,1.350520575,1.34291191,1.335934562,1.329669261,0.002639073,1.000306524,6,18.91,349.17,377.01,0.27,1.92,0.56,4.55,4.55,0
2.142109513,2.123483107,2.100711496,2.072254904,2.035725639,1.987240238,1.920136839,1.822584052,1.677616662,1.513388666,1.460732905,1.450010165,1.433907701,1.415232627,1.395521161,1.375960326,1.357687591,1.341423522,1.327375035,1.315402272,1.305219327,0.003484078,1.000440132,6,18.91,349.17,377.01,0.14,1.92,0.56,4.41,4.41,0
2.077185439,2.058329444,2.035321713,2.006637775,1.969928681,1.921423276,1.854820772,1.759395916,1.620298675,1.463196376,1.394658821,1.374236583,1.358682738,1.341058405,1.321564403,1.301672951,1.283003913,1.266543352,1.252541597,1.240804908,1.230980365,0.002876471,1.000345349,6,18.91,349.17,380.93,0.14,1.92,0.25,3.95,3.95,0
2.156313515,2.135687344,2.110445844,2.078864622,2.038266453,1.984308903,1.909657994,1.801993732,1.647387392,1.483653259,1.415703119,1.386886369,1.369794922,1.354800919,1.339476562,1.323426364,1.307240788,1.291834015,1.277906896,1.265740143,1.255290558,0.002879108,1.000326849,6,18.91,356.23,377.01,0.27,1.22,0.56,4.29,4.29,0
1.807219463,1.78985849,1.768906207,1.743178664,1.710887608,1.66917207,1.613298198,1.536162451,1.435793215,1.353977972,1.327373498,1.318085066,1.311724444,1.305453502,1.298150418,1.289507106,1.280035276,1.270588501,1.261794321,1.253903121,1.246923547,0.002103241,1.000257917,6,18.91,356.23,380.93,0.27,1.22,0.25,3.85,3.85,0
1.812070394,1.794928706,1.774072155,1.748189168,1.715291763,1.672255704,1.614122328,1.534219886,1.433147575,1.343541613,1.296657392,1.276621361,1.266343713,1.258807317,1.252113677,1.245784486,1.239824272,1.234304264,1.229232168,1.224556154,1.220202848,0.001928315,1.000218406,6,18.91,356.23,380.93,0.14,1.22,0.25,5.1,5.1,0
1.670952588,1.65418301,1.633660617,1.607985324,1.574994606,1.53121654,1.470886333,1.384598562,1.26251627,1.130650534,1.067384466,1.05035096,1.044668525,1.042120524,1.040675837,1.039537283,1.03839643,1.037148811,1.035771797,1.034274557,1.032678786,0.001080286,1.000118055,6,18.91,374.07,380.93,0.27,0.68,0.25,3.57,3.57,0
1.179505699,1.167766071,1.153429616,1.135521231,1.112503761,1.081817703,1.038968928,0.976056334,0.882938737,0.76963806,0.697777744,0.677685851,0.6742048,0.673642554,0.673056645,0.67195649,0.6704114,0.668581083,0.666606248,0.664589693,0.6625998,0.000566865,1.000055417,4,20.58,404.84,445.51,0.25,0.68,0.53,6.25,6.25,0
1.647746333,1.631106163,1.610847308,1.585651881,1.553480609,1.511030629,1.452752799,1.369663153,1.253146295,1.126596838,1.053485174,1.026501025,1.013890262,1.003640976,0.993155613,0.982175748,0.97123486,0.960951154,0.95169228,0.943551258,0.936458563,0.001421119,1.000155208,4,20.58,418.07,445.51,0.13,1.22,0.53,4.35,4.35,0
1.602220809,1.58719915,1.568911518,1.546196303,1.517305886,1.479527976,1.42850475,1.356848502,1.251211052,1.100435712,0.983370113,0.947847214,0.937142858,0.931790828,0.928093156,0.925119134,0.922567577,0.920300675,0.918239432,0.916334184,0.914552664,0.000983574,1.000110162,4,20.58,418.07,371.32,0.13,1.22,0.25,3.7,3.7,0
1.47253881,1.459236327,1.443110036,1.423196395,1.398063598,1.365515057,1.322022125,1.261333105,1.170696344,1.038701738,0.962507956,0.943705055,0.936725052,0.9332991,0.931446713,0.930342495,0.929609081,0.929065777,0.928623553,0.928237485,0.927884419,0.001122386,1.000107198,4,20.58,387.1,336.24,0.25,1.9,1.21,4.17,4.17,0
1.871736458,1.853032514,1.830321814,1.802252576,1.766858348,1.721225403,1.660996229,1.579944335,1.472819379,1.358657865,1.290948031,1.260859722,1.242007806,1.226338804,1.21249096,1.200035573,1.188801638,1.178682648,1.169594012,1.16145775,1.15419471,0.003079099,1.000365629,4,20.58,387.1,336.24,0.13,1.9,1.21,4,4,0
2.060717049,2.041866609,2.018787467,1.989895627,1.952719817,1.903190475,1.834125586,1.731733229,1.568309724,1.314941785,1.119163332,1.065324767,1.038331519,1.013390225,0.98911069,0.966811933,0.94750741,0.931335896,0.917928604,0.90678865,0.897464159,0.001757831,1.000206115,4,20.58,387.1,445.51,0.13,1.9,0.53,3.7,3.7,0
1.956330158,1.93892926,1.917673565,1.891173276,1.85731633,1.812774592,1.75213794,1.666683429,1.545853164,1.405963982,1.323966575,1.29055137,1.271204962,1.254238546,1.2380443,1.222679523,1.208542741,1.195952638,1.185007864,1.175618234,1.167596265,0.00440553,1.000575274,3,20.58,349.17,355.05,0.13,1.27,1.48,7.5,7.5,0
2.096283068,2.077415462,2.054457469,2.025951797,1.989683299,1.942139601,1.877492923,1.785851828,1.65331565,1.490844757,1.394251304,1.361498861,1.341829389,1.325189696,1.310239422,1.296624804,1.284326839,1.273362667,1.263681647,1.255169362,1.247682559,0.005394731,1.000689153,3,20.58,375.73,342.31,0.13,1.37,1.22,6.25,6.25,0
2.110564444,2.09388287,2.073537729,2.048187283,2.015756697,1.972882271,1.913820409,1.828352243,1.699587641,1.524055338,1.39963739,1.356352163,1.33544103,1.318498307,1.302018025,1.285732602,1.270252079,1.256071528,1.243392981,1.232213554,1.222421858,0.004956373,1.000687011,3,20.58,375.73,355.05,0.13,1.37,1.48,7.5,7.5,0
2.400685013,2.381494821,2.357977356,2.328492587,2.290481391,2.239765978,2.169190885,2.066119777,1.911324526,1.718393828,1.597945379,1.545067162,1.514390608,1.490462628,1.469548959,1.450585998,1.433496815,1.418363198,1.405156748,1.393727238,1.383860968,0.008218382,1.001300471,3,20.58,357.21,355.05,0.13,1.84,1.48,3.41,3.41,0
2.228872866,2.210709242,2.188535692,2.160897104,2.125562342,2.078944615,2.014923488,1.92229641,1.78039119,1.576696081,1.429230813,1.384446242,1.363551301,1.343782988,1.323413899,1.30381777,1.28597494,1.270202932,1.256482016,1.244646346,1.234472363,0.005201861,1.000727069,3,20.58,382,342.31,0.13,2.44,1.22,2.89,2.89,0
